# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
37.271753628	0.153353703	3.681488205	3.678548733	13.936125547	13.925150879	67.564186200	67.510979548
38.228212293	0.157285848	3.681715410	3.678623098	13.936978665	13.925433754	67.568322230	67.512350968
39.184729665	0.161217993	3.681948380	3.678699345	13.937853362	13.925723784	67.572562875	67.513757070
40.141307218	0.165150138	3.682187123	3.678777475	13.938749637	13.926020969	67.576908135	67.515197860
41.097946413	0.169082288	3.682431640	3.678857498	13.939667487	13.926325308	67.581357998	67.516673340
42.054648725	0.173014433	3.682681930	3.678939398	13.940606912	13.926636801	67.585912453	67.518183500
43.011415625	0.176946578	3.682938000	3.679023185	13.941567908	13.926955447	67.590571485	67.519728333
43.968248585	0.180878723	3.683199843	3.679108855	13.942550474	13.927281246	67.595335095	67.521307853
44.925149078	0.184810870	3.683467465	3.679196413	13.943554608	13.927614197	67.600203270	67.522922045
45.882118568	0.188743018	3.683740865	3.679285855	13.944580307	13.927954300	67.605175998	67.524570908
46.839158533	0.192675163	3.684020050	3.679377183	13.945627570	13.928301555	67.610253265	67.526254445
47.796270445	0.196607308	3.684305018	3.679470393	13.946696395	13.928655961	67.615435070	67.527972655
48.753455778	0.200539458	3.684595768	3.679565488	13.947786779	13.929017517	67.620721400	67.529725528
49.710715993	0.204471603	3.684892308	3.679662468	13.948898721	13.929386223	67.626112245	67.531513060
50.668052578	0.208403748	3.685194633	3.679761335	13.950032219	13.929762079	67.631607588	67.533335263
51.625467000	0.212335893	3.685502748	3.679862088	13.951187270	13.930145084	67.637207430	67.535192120
52.582960730	0.216268040	3.685816658	3.679964728	13.952363873	13.930535237	67.642911758	67.537083635
53.540535245	0.220200188	3.686136360	3.680069255	13.953562026	13.930932538	67.648720560	67.539009805
54.498192013	0.224132333	3.686461858	3.680175665	13.954781726	13.931336988	67.654633830	67.540970628
55.455932515	0.228064478	3.686793150	3.680283963	13.956022972	13.931748584	67.660651558	67.542966098
56.413758223	0.231996623	3.687130243	3.680394143	13.957285763	13.932167327	67.666773730	67.544996220
57.371670610	0.235928773	3.687473138	3.680506215	13.958570095	13.932593216	67.673000345	67.547060990
58.329671155	0.239860918	3.687821833	3.680620173	13.959875968	13.933026250	67.679331388	67.549160400
59.287761330	0.243793063	3.688176338	3.680736013	13.961203379	13.933466430	67.685766858	67.551294450
60.245942613	0.247725208	3.688536645	3.680853745	13.962552327	13.933913755	67.692306733	67.553463135
61.204216478	0.251657358	3.688902768	3.680973365	13.963922810	13.934368223	67.698951018	67.555666463
