# %ECSV 1.0
# ---
# datatype:
# - {name: R, unit: mm, datatype: float64, description: 'CS5 radius, i.e. sqrt(X**2 + Y**2)'}
# - {name: Z, unit: mm, datatype: float64, description: CS5 Z coordinate}
# - {name: S, unit: mm, datatype: float64, description: distance from focalplane center along curved focal surface (arclength)}
# meta: {comment: Focal plane curve mapping, curve_r: -9767.0, diameter: 1160.0}
# schema: astropy-2.0
R Z S
59.0 -0.1782037348505741 59.000358830657326
60.0 -0.1842957901575852 60.00037738749089
61.0 -0.1904902368450053 61.000396573328544
62.0 -0.1967870751076548 62.00041639865489
63.0 -0.20318630514357522 63.00043687395462
64.0 -0.2096879271540286 64.00045800971246
65.0 -0.21629194134349802 65.00047981641323
66.0 -0.22299834791968742 66.00050230454177
67.0 -0.22980714709352182 67.00052548458304
68.0 -0.23671833907914694 68.000549367022
69.0 -0.24373192409392969 69.00057396234375
70.0 -0.25084790235845794 70.00059928103339
71.0 -0.2580662740965407 71.00062533357612
72.0 -0.26538703953520804 72.00065213045723
73.0 -0.2728101989047111 73.00067968216202
74.0 -0.2803357524385223 74.00070799917592
75.0 -0.28796370037333535 75.0007370919844
76.0 -0.295694042949065 76.00076697107303
77.0 -0.30352678040884734 77.00079764692742
78.0 -0.31146191299904014 78.0008291300333
79.0 -0.3194994409692219 79.0008614308764
80.0 -0.327639364572193 80.0008945599426
81.0 -0.33588168406397506 81.00092852771782
82.0 -0.34422639970381147 82.00096334468812
83.0 -0.35267351175416667 83.00099902133954
84.0 -0.36122302048072724 84.0010355681583
85.0 -0.36987492615240075 85.00107299563061
86.0 -0.37862922904131696 86.00111131424283
87.0 -0.3874859294228269 87.00115053448141
88.0 -0.39644502757550365 88.0011906668328
89.0 -0.405506523781142 89.00123172178364
90.0 -0.4146704183247586 90.00127370982062
91.0 -0.42393671149459167 91.00131664143048
92.0 -0.4333054035821016 92.00136052710006
93.0 -0.44277649488197096 93.00140537731637
94.0 -0.4523499856921038 94.00145120256639
95.0 -0.4620258763136267 95.0014980133373
96.0 -0.471804167050888 96.00154582011628
97.0 -0.4816848582114585 97.0015946333907
98.0 -0.49166795010613096 98.00164446364792
99.0 -0.5017534430489203 99.0016953213755
100.0 -0.5119413373570643 100.001747217061
101.0 -0.5222316333510224 101.00180016119216
102.0 -0.5326243313544768 102.00185416425676
103.0 -0.5431194316943321 103.00190923674273
104.0 -0.5537169347007155 104.00196538913806
105.0 -0.5644168407069763 105.00202263193084
106.0 -0.5752191500496869 106.0020809756093
107.0 -0.5861238630686423 107.00214043066174
108.0 -0.59713098010686 108.0022010075766
109.0 -0.6082405015105805 109.0022627168424
110.0 -0.6194524276292667 110.00232556894773
111.0 -0.630766758815605 111.00238957438138
112.0 -0.6421834954255041 112.00245474363216
113.0 -0.653702637818096 113.00252108718905
114.0 -0.6653241863557361 114.00258861554113
115.0 -0.6770481414040023 115.00265733917757
116.0 -0.6888745033316955 116.00272726858762
117.0 -0.7008032725108406 117.00279841426074
118.0 -0.7128344493166855 118.00287078668644
119.0 -0.7249680341277007 119.00294439635434
120.0 -0.7372040273255813 120.0030192537542
121.0 -0.7495424292952451 121.00309536937593
122.0 -0.7619832404248331 122.00317275370945
123.0 -0.7745264611057108 123.00325141724491
124.0 -0.7871720917324666 124.00333137047255
125.0 -0.7999201327029131 125.00341262388271
126.0 -0.8127705844180863 126.00349518796587
127.0 -0.8257234472822459 127.00357907321262
128.0 -0.8387787217028762 128.0036642901137
129.0 -0.8519364080906845 129.00375084915993
130.0 -0.8651965068596028 130.0038387608423
131.0 -0.8785590184267871 131.00392803565197
132.0 -0.8920239432126171 132.00401868408005
133.0 -0.9055912816406974 133.00411071661802
134.0 -0.9192610341378563 134.00420414375733
135.0 -0.9330332011341466 135.0042989759896
136.0 -0.9469077830628455 136.00439522380657
137.0 -0.960884780360455 137.00449289770017
138.0 -0.9749641934667012 138.00459200816238
139.0 -0.9891460228245351 139.0046925656854
140.0 -1.0034302688801324 140.0047945807615
141.0 -1.0178169320828931 141.00489806388316
142.0 -1.0323060128854429 142.00500302554292
143.0 -1.0468975117436312 143.00510947623346
144.0 -1.061591429116534 144.0052174264477
145.0 -1.0763877654664504 145.00532688667857
146.0 -1.0912865212589067 146.0054378674193
147.0 -1.1062876969626523 147.00555037916305
148.0 -1.1213912930496635 148.00566443240334
149.0 -1.1365973099951412 149.0057800376337
150.0 -1.1519057482775117 150.0058972053479
151.0 -1.167316608378427 151.00601594603972
152.0 -1.182829890782765 152.00613627020329
