# - Radius : radius from center of focal plane [mm]
# - Theta radial angle that has a centroid at this radius [deg]
# - MF/# : Meridional F/#
# - SF/# : Sagittal F/#
# - MFL  : Meridional focal length [m]
# - SFL  : Sagittal focal length [m]
# - MPS  : Meridional plate scale [um/arcsec]
# - SPS  : Sagittal plate scale [um/arcsec]
# - ARC  : Arc length [mm]
# Radius    Theta   MF/#    SF/#    MFL SFL MPS SPS ARC
0.000000000	0.000000000	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	0.000000000
1.000000000	0.002389917	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	1.000000002
2.000000000	0.004779833	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	2.000000014
3.000000000	0.007169750	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	3.000000047
4.000000000	0.009559667	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	4.000000112
5.000000000	0.011949583	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	5.000000218
6.000000000	0.014339500	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	6.000000377
7.000000000	0.016729417	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	7.000000599
8.000000000	0.019119333	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	8.000000895
9.000000000	0.021509250	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	9.000001274
10.000000000	0.023899167	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	10.000001747
11.000000000	0.026289083	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	11.000002325
12.000000000	0.028679000	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	12.000003019
13.000000000	0.031068917	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	13.000003838
14.000000000	0.033458833	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	14.000004794
15.000000000	0.035848750	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	15.000005897
16.000000000	0.038238667	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	16.000007156
17.000000000	0.040628583	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	17.000008584
18.000000000	0.043018500	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	18.000010189
19.000000000	0.045408417	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	19.000011984
20.000000000	0.047798333	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	20.000013977
21.000000000	0.050188250	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	21.000016180
22.000000000	0.052578167	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	22.000018604
23.000000000	0.054968083	3.600000000	3.600000000	23.973900000	23.973900000	116.229064240	116.229064240	23.000021257
