x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-203.520416,258.505647,4.994347,329.007188,329.059149,128.213211,1.780025,,module,front,0.032143,-0.040827,0,POINT Z (-203.52041610859226 258.50564745693674 4.9943471962030275)
-284.909299,258.488153,6.961704,384.693948,384.780745,137.783651,2.041616,,module,front,0.064283,-0.058322,0,POINT Z (-284.9092994334395 258.4881525639662 6.961703678306316)
-244.229797,188.008186,4.350474,308.21303,308.25502,142.410911,1.677729,,module,front,0.033274,-0.025614,0,POINT Z (-244.2297971578374 188.00818551094017 4.350473837993342)
-325.614373,187.993546,6.630687,375.987092,376.067599,150.0,2.002034,,module,front,0.069721,-0.040253,0,POINT Z (-325.61437339295793 187.99354613043553 6.630687120704231)
-325.603072,234.983777,7.626665,401.540454,401.640372,144.182474,2.116666,,module,front,0.081022,-0.058473,1,POINT Z (-325.6030721442933 234.98377668934612 7.626665290246758)
-366.303456,164.488644,7.626665,401.540454,401.640372,155.817526,2.116666,,module,front,0.09115,-0.040931,1,POINT Z (-366.30345616233006 164.48864368254206 7.6266652902467555)
-284.928583,164.503594,4.994347,329.007188,329.059149,150.0,1.780025,,module,front,0.045,-0.025981,1,POINT Z (-284.92858255202907 164.50359383623245 4.994347196203025)
-162.799634,375.969649,7.960406,409.703427,409.810165,113.413224,2.152267,,module,front,0.042413,-0.097949,1,POINT Z (-162.79963374334994 375.96964946278234 7.960405567480748)
-122.098293,399.463068,8.294849,417.706518,417.820242,106.996088,2.186664,,module,front,0.033242,-0.108756,0,POINT Z (-122.09829329467888 399.4630675072348 8.294849065301456)
-203.487557,399.444226,9.637611,448.28883,448.432031,116.995508,2.313174,,module,front,0.065002,-0.127598,0,POINT Z (-203.48755698229564 399.4442257215902 9.637611055554949)
-162.809047,328.992464,6.300783,367.073327,367.14773,116.329503,1.960977,,module,front,0.033,-0.066685,0,POINT Z (-162.80904675915926 328.99246440517425 6.300783337152626)
-244.199451,328.973443,7.960406,409.703427,409.810165,126.586776,2.152267,,module,front,0.06362,-0.085706,0,POINT Z (-244.19945061502509 328.9734432799347 7.960405567480759)
-244.185068,375.947507,9.637611,448.28883,448.432031,123.004492,2.313174,,module,front,0.078002,-0.120092,1,POINT Z (-244.18506837875478 375.94750656149665 9.637611055554949)
-284.896018,305.471758,8.294849,417.706518,417.820242,133.003912,2.186664,,module,front,0.077565,-0.083167,1,POINT Z (-284.89601768758416 305.4717575055325 8.29484906530146)
-203.511308,305.493003,6.300783,367.073327,367.14773,123.670497,1.960977,,module,front,0.04125,-0.061921,1,POINT Z (-203.51130844894908 305.49300266194746 6.300783337152622)
-81.384613,516.861708,13.326485,523.229854,523.463944,98.948276,2.584495,,module,front,0.036411,-0.231241,1,POINT Z (-81.3846125432702 516.8617075572545 13.326485158674268)
-40.690951,540.337421,14.318775,541.867402,542.127891,94.306619,2.641918,,module,front,0.019561,-0.259753,0,POINT Z (-40.69095069475779 540.3374207556045 14.318774624340598)
-122.070214,540.325745,14.974316,553.943182,554.22145,102.730528,2.676678,,module,front,0.061321,-0.271428,0,POINT Z (-122.07021439960796 540.3257454346424 14.974315756758621)
-81.391185,469.912226,10.983454,476.908823,477.08366,99.82643,2.423798,,module,front,0.029838,-0.172272,0,POINT Z (-81.39118508246854 469.9122261702584 10.983454285066948)
-162.776672,469.895776,11.990935,497.290946,497.490671,109.106605,2.497486,,module,front,0.065375,-0.188722,0,POINT Z (-162.77667172612703 469.8957761943538 11.990935043343473)
-162.763803,516.844489,14.318775,541.867402,542.127891,107.48017,2.641918,,module,front,0.078244,-0.248459,1,POINT Z (-162.7638027790312 516.8444894184044 14.318774624340598)
-203.473203,446.406173,11.655493,490.591292,490.782625,114.503633,2.473759,,module,front,0.079355,-0.1741,1,POINT Z (-203.47320347332524 446.4061734331593 11.655492808675909)
-122.089651,446.427122,10.310555,462.820763,462.979538,105.295344,2.370341,,module,front,0.041884,-0.153151,1,POINT Z (-122.08965122729013 446.42712234184205 10.310555435439307)
-406.923063,-328.911996,13.326485,523.229854,523.463944,-141.051724,2.584495,,module,front,0.182055,0.147153,1,POINT Z (-406.9230627163507 -328.9119957182528 13.326485158674268)
-366.260333,-305.442947,10.983454,476.908823,477.08366,-140.17357,2.423798,,module,front,0.134273,0.111977,0,POINT Z (-366.26033287110846 -305.4429470106678 10.98345428506695)
-447.600458,-305.408107,14.318775,541.867402,542.127891,-145.693381,2.641918,,module,front,0.215172,0.146817,0,POINT Z (-447.60045764233564 -305.4081073836026 14.318774624340598)
-406.900715,-375.878779,14.974316,553.943182,554.22145,-137.269472,2.676678,,module,front,0.204403,0.188819,0,POINT Z (-406.90071466536 -375.8787794327948 14.974315756758621)
-325.614373,-187.993546,6.630687,375.987092,376.067599,-150.0,2.002034,,module,front,0.069721,0.040253,1,POINT Z (-325.61437339295793 -187.99354613043553 6.630687120704231)
-284.928583,-164.503594,4.994347,329.007188,329.059149,-150.0,1.780025,,module,front,0.045,0.025981,0,POINT Z (-284.9285825520292 -164.5035938362325 4.994347196203029)
-366.303456,-164.488644,7.626665,401.540454,401.640372,-155.817526,2.116666,,module,front,0.09115,0.040931,0,POINT Z (-366.30345616233006 -164.48864368254206 7.6266652902467555)
-325.603072,-234.983777,7.626665,401.540454,401.640372,-144.182474,2.116666,,module,front,0.081022,0.058473,0,POINT Z (-325.6030721442933 -234.98377668934612 7.626665290246758)
-406.960709,-234.958875,10.647061,469.91775,470.084499,-150.0,2.397519,,module,front,0.144409,0.083374,0,POINT Z (-406.96070903570876 -234.9588749113674 10.64706149537423)
-406.975114,-187.973753,9.637611,448.28883,448.432031,-155.208719,2.313174,,module,front,0.130004,0.060046,1,POINT Z (-406.97511396459123 -187.9737532807484 9.63761105555495)
-447.620432,-258.433777,12.993734,516.867554,517.092949,-150.0,2.563892,,module,front,0.195197,0.112697,1,POINT Z (-447.6204322834724 -258.43377707363936 12.993733631965295)
-366.277603,-258.463911,9.637611,448.28883,448.432031,-144.791281,2.313174,,module,front,0.117003,0.082564,1,POINT Z (-366.27760256813224 -258.46391076102907 9.637611055554956)
-244.242433,-47.004478,2.774643,248.724319,248.745336,-169.106605,1.373872,,module,front,0.020638,0.003972,1,POINT Z (-244.24243273314028 -47.00447809533588 2.7746428457772017)
-203.541271,-23.502922,1.856476,204.89372,204.905082,-173.413224,1.141132,,module,front,0.011288,0.001303,0,POINT Z (-203.54127112317641 -23.50292153483289 1.8564758480575367)
-284.94079,-23.50152,3.713927,285.908334,285.941237,-175.284996,1.566427,,module,front,0.032792,0.002705,0,POINT Z (-284.94079033887124 -23.50152028646462 3.713926565151443)
-244.239982,-94.008013,3.085529,261.707233,261.731972,-158.948276,1.441525,,module,front,0.023088,0.008887,0,POINT Z (-244.23998249916406 -94.00801309517456 3.085528506477417)
