x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-274.80674,111.65717,4.012813,296.624457,296.661528,157.887522,1.621314,,module,front,0.034345,-0.013955,0,POINT Z (-274.8067404959144 111.65717000837847 4.012813418793293)
-349.436385,111.648527,6.29225,366.839448,366.913696,162.280783,1.959893,,module,front,0.070725,-0.022598,0,POINT Z (-349.4363851951542 111.64852716444547 6.292249843088411)
-312.129222,47.001692,4.575074,315.648238,315.69362,171.436508,1.714514,,module,front,0.044876,-0.006758,0,POINT Z (-312.12922161303004 47.00169220959622 4.5750739781520435)
-390.125348,45.047795,7.274395,392.717571,392.810459,173.413224,2.077619,,module,front,0.092275,-0.010655,0,POINT Z (-390.125347528035 45.04779488260144 7.274394831830918)
-390.121418,88.145163,7.562729,399.955361,400.05399,167.268206,2.109694,,module,front,0.096204,-0.021737,1,POINT Z (-390.12141830294826 88.14516310172444 7.5627288740063445)
-427.427603,23.497461,8.738607,428.072992,428.19621,176.853382,2.230446,,module,front,0.123032,-0.006764,1,POINT Z (-427.4276034097534 23.497461373047383 8.738607253733562)
-352.818949,23.499852,5.81943,353.600699,353.666504,176.189387,1.897942,,module,front,0.06566,-0.004373,1,POINT Z (-352.81894931941366 23.499851559772004 5.81942999430751)
-234.094648,225.25768,4.862373,324.871246,324.921103,136.102114,1.759853,,module,front,0.035925,-0.034569,1,POINT Z (-234.09464813933783 225.25768019849573 4.862373396938335)
-196.76927,246.810989,4.575074,315.648238,315.69362,128.563492,1.714514,,module,front,0.02829,-0.035485,0,POINT Z (-196.7692702808826 246.8109890755486 4.575073978152042)
-271.408653,246.796523,6.29225,366.839448,366.913696,137.719217,1.959893,,module,front,0.054933,-0.049951,0,POINT Z (-271.40865341710384 246.79652300338523 6.292249843088411)
-234.101316,182.161033,4.012813,296.624457,296.661528,142.112478,1.621314,,module,front,0.029257,-0.022766,0,POINT Z (-234.1013159898909 182.1610333964705 4.012813418793293)
-312.113432,180.198774,6.059669,360.397549,360.467599,150.0,1.929887,,module,front,0.060665,-0.035025,0,POINT Z (-312.1134324819011 180.19877426112365 6.059669114632253)
-312.104071,223.292149,6.925612,383.755567,383.84167,144.418503,2.037375,,module,front,0.070027,-0.0501,1,POINT Z (-312.1040711263708 223.2921492733241 6.925612392643619)
