#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.79951
     3500.100     0.79954
     3500.200     0.79926
     3500.300     0.79898
     3500.400     0.79870
     3500.500     0.79841
     3500.600     0.79813
     3500.700     0.79785
     3500.800     0.79757
     3500.900     0.79733
     3501.000     0.79770
     3501.100     0.79807
     3501.200     0.79844
     3501.300     0.79881
     3501.400     0.79919
     3501.500     0.79956
     3501.600     0.79993
     3501.700     0.80030
     3501.800     0.80163
     3501.900     0.80295
     3502.000     0.80427
     3502.100     0.80560
     3502.200     0.80692
     3502.300     0.80824
     3502.400     0.80957
     3502.500     0.81089
     3502.600     0.81162
     3502.700     0.81231
     3502.800     0.81300
     3502.900     0.81369
     3503.000     0.81438
     3503.100     0.81507
     3503.200     0.81577
     3503.300     0.81646
     3503.400     0.81689
     3503.500     0.81729
     3503.600     0.81769
     3503.700     0.81809
     3503.800     0.81848
     3503.900     0.81888
     3504.000     0.81928
     3504.100     0.81968
     3504.200     0.81886
     3504.300     0.81774
     3504.400     0.81662
     3504.500     0.81551
     3504.600     0.81439
     3504.700     0.81327
     3504.800     0.81215
     3504.900     0.81104
     3505.000     0.81045
     3505.100     0.81005
     3505.200     0.80965
     3505.300     0.80925
     3505.400     0.80885
     3505.500     0.80845
     3505.600     0.80805
     3505.700     0.80765
     3505.800     0.80742
     3505.900     0.80729
     3506.000     0.80715
     3506.100     0.80702
     3506.200     0.80688
     3506.300     0.80675
     3506.400     0.80661
     3506.500     0.80648
     3506.600     0.80699
     3506.700     0.80795
     3506.800     0.80891
     3506.900     0.80987
     3507.000     0.81083
     3507.100     0.81179
     3507.200     0.81275
     3507.300     0.81371
     3507.400     0.81466
     3507.500     0.81559
     3507.600     0.81653
     3507.700     0.81746
     3507.800     0.81840
     3507.900     0.81933
     3508.000     0.82027
     3508.100     0.82120
     3508.200     0.82150
     3508.300     0.82096
     3508.400     0.82043
     3508.500     0.81990
     3508.600     0.81936
     3508.700     0.81883
     3508.800     0.81830
     3508.900     0.81776
