#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.83654
     3500.100     0.83672
     3500.200     0.83689
     3500.300     0.83707
     3500.400     0.83725
     3500.500     0.83742
     3500.600     0.83755
     3500.700     0.83752
     3500.800     0.83748
     3500.900     0.83745
     3501.000     0.83741
     3501.100     0.83737
     3501.200     0.83734
     3501.300     0.83730
     3501.400     0.83730
     3501.500     0.83755
     3501.600     0.83779
     3501.700     0.83804
     3501.800     0.83829
     3501.900     0.83853
     3502.000     0.83878
     3502.100     0.83902
     3502.200     0.83923
     3502.300     0.83897
     3502.400     0.83871
     3502.500     0.83845
     3502.600     0.83820
     3502.700     0.83794
     3502.800     0.83768
     3502.900     0.83742
     3503.000     0.83716
     3503.100     0.83683
     3503.200     0.83650
     3503.300     0.83616
     3503.400     0.83583
     3503.500     0.83550
     3503.600     0.83516
     3503.700     0.83483
     3503.800     0.83450
     3503.900     0.83474
     3504.000     0.83502
     3504.100     0.83530
     3504.200     0.83559
     3504.300     0.83587
     3504.400     0.83615
     3504.500     0.83643
     3504.600     0.83671
     3504.700     0.83648
     3504.800     0.83618
     3504.900     0.83589
     3505.000     0.83559
     3505.100     0.83529
     3505.200     0.83499
     3505.300     0.83469
     3505.400     0.83440
     3505.500     0.83375
     3505.600     0.83302
     3505.700     0.83228
     3505.800     0.83155
     3505.900     0.83082
     3506.000     0.83008
     3506.100     0.82935
     3506.200     0.82862
     3506.300     0.82823
     3506.400     0.82797
     3506.500     0.82770
     3506.600     0.82744
     3506.700     0.82718
     3506.800     0.82691
     3506.900     0.82665
     3507.000     0.82639
     3507.100     0.82624
     3507.200     0.82615
     3507.300     0.82606
     3507.400     0.82597
     3507.500     0.82588
     3507.600     0.82579
     3507.700     0.82570
     3507.800     0.82561
     3507.900     0.82535
     3508.000     0.82497
     3508.100     0.82459
     3508.200     0.82422
     3508.300     0.82384
     3508.400     0.82346
     3508.500     0.82308
     3508.600     0.82270
     3508.700     0.82242
     3508.800     0.82222
     3508.900     0.82202
     3509.000     0.82182
     3509.100     0.82163
     3509.200     0.82143
     3509.300     0.82123
     3509.400     0.82104
     3509.500     0.82064
     3509.600     0.81999
     3509.700     0.81933
     3509.800     0.81867
     3509.900     0.81801
     3510.000     0.81736
     3510.100     0.81670
     3510.200     0.81604
     3510.300     0.81536
     3510.400     0.81464
     3510.500     0.81392
     3510.600     0.81320
     3510.700     0.81248
     3510.800     0.81177
     3510.900     0.81105
     3511.000     0.81033
     3511.100     0.80930
     3511.200     0.80740
     3511.300     0.80549
     3511.400     0.80359
     3511.500     0.80169
     3511.600     0.79978
     3511.700     0.79788
     3511.800     0.79597
     3511.900     0.79431
     3512.000     0.79382
     3512.100     0.79333
     3512.200     0.79283
     3512.300     0.79234
     3512.400     0.79185
     3512.500     0.79135
     3512.600     0.79086
     3512.700     0.79043
     3512.800     0.79075
     3512.900     0.79107
     3513.000     0.79139
     3513.100     0.79170
     3513.200     0.79202
     3513.300     0.79234
     3513.400     0.79266
     3513.500     0.79297
     3513.600     0.79329
     3513.700     0.79361
     3513.800     0.79392
     3513.900     0.79424
     3514.000     0.79456
     3514.100     0.79487
     3514.200     0.79519
     3514.300     0.79551
     3514.400     0.79552
     3514.500     0.79550
     3514.600     0.79548
     3514.700     0.79547
     3514.800     0.79545
     3514.900     0.79543
     3515.000     0.79541
     3515.100     0.79540
     3515.200     0.79475
     3515.300     0.79397
     3515.400     0.79318
     3515.500     0.79239
     3515.600     0.79161
     3515.700     0.79082
     3515.800     0.79003
     3515.900     0.78924
     3516.000     0.78867
     3516.100     0.78818
     3516.200     0.78769
     3516.300     0.78720
     3516.400     0.78671
     3516.500     0.78621
     3516.600     0.78572
     3516.700     0.78523
     3516.800     0.78420
     3516.900     0.78283
     3517.000     0.78146
     3517.100     0.78009
     3517.200     0.77873
     3517.300     0.77736
     3517.400     0.77599
     3517.500     0.77462
     3517.600     0.77367
     3517.700     0.77310
     3517.800     0.77252
     3517.900     0.77195
     3518.000     0.77137
     3518.100     0.77080
     3518.200     0.77022
     3518.300     0.76965
     3518.400     0.76940
     3518.500     0.76961
     3518.600     0.76982
     3518.700     0.77002
     3518.800     0.77023
     3518.900     0.77044
     3519.000     0.77065
     3519.100     0.77085
     3519.200     0.77116
     3519.300     0.77166
     3519.400     0.77217
     3519.500     0.77268
     3519.600     0.77318
     3519.700     0.77369
     3519.800     0.77420
     3519.900     0.77470
     3520.000     0.77507
     3520.100     0.77493
     3520.200     0.77478
     3520.300     0.77464
     3520.400     0.77450
     3520.500     0.77435
     3520.600     0.77421
     3520.700     0.77406
     3520.800     0.77386
     3520.900     0.77322
     3521.000     0.77257
     3521.100     0.77192
     3521.200     0.77127
     3521.300     0.77063
     3521.400     0.76998
     3521.500     0.76933
     3521.600     0.76868
     3521.700     0.76796
     3521.800     0.76723
     3521.900     0.76651
     3522.000     0.76578
     3522.100     0.76506
     3522.200     0.76434
     3522.300     0.76361
     3522.400     0.76289
     3522.500     0.76247
     3522.600     0.76209
     3522.700     0.76171
     3522.800     0.76133
     3522.900     0.76095
     3523.000     0.76057
     3523.100     0.76019
     3523.200     0.75981
     3523.300     0.75949
     3523.400     0.75919
     3523.500     0.75888
     3523.600     0.75858
     3523.700     0.75827
     3523.800     0.75797
     3523.900     0.75766
     3524.000     0.75736
     3524.100     0.75688
     3524.200     0.75632
     3524.300     0.75577
     3524.400     0.75521
     3524.500     0.75465
     3524.600     0.75409
     3524.700     0.75353
     3524.800     0.75298
     3524.900     0.75283
     3525.000     0.75301
     3525.100     0.75319
     3525.200     0.75338
     3525.300     0.75356
     3525.400     0.75374
     3525.500     0.75392
     3525.600     0.75411
     3525.700     0.75418
     3525.800     0.75411
     3525.900     0.75404
     3526.000     0.75398
     3526.100     0.75391
     3526.200     0.75384
     3526.300     0.75377
     3526.400     0.75370
     3526.500     0.75358
     3526.600     0.75334
     3526.700     0.75309
     3526.800     0.75285
     3526.900     0.75260
     3527.000     0.75236
     3527.100     0.75212
     3527.200     0.75187
     3527.300     0.75154
     3527.400     0.75086
     3527.500     0.75017
     3527.600     0.74948
     3527.700     0.74880
     3527.800     0.74811
     3527.900     0.74742
     3528.000     0.74674
     3528.100     0.74611
     3528.200     0.74622
     3528.300     0.74633
     3528.400     0.74644
     3528.500     0.74655
     3528.600     0.74667
     3528.700     0.74678
     3528.800     0.74689
     3528.900     0.74700
     3529.000     0.74651
     3529.100     0.74599
     3529.200     0.74547
