#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.58951
     3500.100     0.58963
     3500.200     0.58975
     3500.300     0.58988
     3500.400     0.59000
     3500.500     0.59013
     3500.600     0.59022
     3500.700     0.59019
     3500.800     0.59017
     3500.900     0.59014
     3501.000     0.59012
     3501.100     0.59009
     3501.200     0.59007
     3501.300     0.59004
     3501.400     0.59004
     3501.500     0.59022
     3501.600     0.59039
     3501.700     0.59056
     3501.800     0.59073
     3501.900     0.59091
     3502.000     0.59108
     3502.100     0.59125
     3502.200     0.59140
     3502.300     0.59122
     3502.400     0.59104
     3502.500     0.59085
     3502.600     0.59067
     3502.700     0.59049
     3502.800     0.59031
     3502.900     0.59013
     3503.000     0.58994
     3503.100     0.58971
     3503.200     0.58947
     3503.300     0.58924
     3503.400     0.58901
     3503.500     0.58877
     3503.600     0.58854
     3503.700     0.58830
     3503.800     0.58807
     3503.900     0.58824
     3504.000     0.58844
     3504.100     0.58863
     3504.200     0.58883
     3504.300     0.58903
     3504.400     0.58923
     3504.500     0.58942
     3504.600     0.58962
     3504.700     0.58946
     3504.800     0.58925
     3504.900     0.58904
     3505.000     0.58883
     3505.100     0.58862
     3505.200     0.58841
     3505.300     0.58820
     3505.400     0.58799
     3505.500     0.58754
     3505.600     0.58702
     3505.700     0.58650
     3505.800     0.58599
     3505.900     0.58547
     3506.000     0.58495
     3506.100     0.58444
     3506.200     0.58392
     3506.300     0.58365
     3506.400     0.58346
     3506.500     0.58328
     3506.600     0.58309
     3506.700     0.58291
     3506.800     0.58272
     3506.900     0.58254
     3507.000     0.58235
     3507.100     0.58225
     3507.200     0.58218
     3507.300     0.58212
     3507.400     0.58206
     3507.500     0.58199
     3507.600     0.58193
     3507.700     0.58187
     3507.800     0.58180
     3507.900     0.58162
     3508.000     0.58135
     3508.100     0.58109
     3508.200     0.58082
     3508.300     0.58055
     3508.400     0.58029
     3508.500     0.58002
     3508.600     0.57975
     3508.700     0.57955
     3508.800     0.57941
     3508.900     0.57927
     3509.000     0.57913
     3509.100     0.57900
     3509.200     0.57886
     3509.300     0.57872
     3509.400     0.57858
     3509.500     0.57830
     3509.600     0.57784
     3509.700     0.57738
     3509.800     0.57691
     3509.900     0.57645
     3510.000     0.57599
     3510.100     0.57552
     3510.200     0.57506
     3510.300     0.57458
     3510.400     0.57407
     3510.500     0.57357
     3510.600     0.57306
     3510.700     0.57255
     3510.800     0.57205
     3510.900     0.57154
     3511.000     0.57103
     3511.100     0.57031
     3511.200     0.56897
     3511.300     0.56763
     3511.400     0.56629
     3511.500     0.56494
     3511.600     0.56360
     3511.700     0.56226
     3511.800     0.56092
     3511.900     0.55975
     3512.000     0.55940
     3512.100     0.55905
     3512.200     0.55870
     3512.300     0.55836
     3512.400     0.55801
     3512.500     0.55766
     3512.600     0.55731
     3512.700     0.55701
     3512.800     0.55724
     3512.900     0.55746
     3513.000     0.55769
     3513.100     0.55791
     3513.200     0.55813
     3513.300     0.55836
     3513.400     0.55858
     3513.500     0.55880
     3513.600     0.55903
     3513.700     0.55925
     3513.800     0.55947
     3513.900     0.55970
     3514.000     0.55992
     3514.100     0.56014
     3514.200     0.56036
     3514.300     0.56059
     3514.400     0.56060
     3514.500     0.56059
     3514.600     0.56057
     3514.700     0.56056
     3514.800     0.56055
     3514.900     0.56054
     3515.000     0.56052
     3515.100     0.56051
     3515.200     0.56006
     3515.300     0.55950
     3515.400     0.55895
     3515.500     0.55839
     3515.600     0.55784
     3515.700     0.55729
     3515.800     0.55673
     3515.900     0.55618
     3516.000     0.55577
     3516.100     0.55542
     3516.200     0.55508
     3516.300     0.55473
     3516.400     0.55439
     3516.500     0.55404
     3516.600     0.55369
     3516.700     0.55335
     3516.800     0.55262
     3516.900     0.55166
     3517.000     0.55069
     3517.100     0.54973
     3517.200     0.54876
     3517.300     0.54780
     3517.400     0.54684
     3517.500     0.54587
     3517.600     0.54520
     3517.700     0.54480
     3517.800     0.54439
     3517.900     0.54399
     3518.000     0.54358
     3518.100     0.54318
     3518.200     0.54277
     3518.300     0.54237
     3518.400     0.54219
     3518.500     0.54234
     3518.600     0.54249
     3518.700     0.54263
     3518.800     0.54278
     3518.900     0.54292
     3519.000     0.54307
     3519.100     0.54322
     3519.200     0.54343
     3519.300     0.54379
     3519.400     0.54414
     3519.500     0.54450
     3519.600     0.54486
     3519.700     0.54522
     3519.800     0.54557
     3519.900     0.54593
     3520.000     0.54619
     3520.100     0.54609
     3520.200     0.54599
     3520.300     0.54588
     3520.400     0.54578
     3520.500     0.54568
     3520.600     0.54558
     3520.700     0.54548
     3520.800     0.54534
     3520.900     0.54488
     3521.000     0.54442
     3521.100     0.54397
     3521.200     0.54351
     3521.300     0.54306
     3521.400     0.54260
     3521.500     0.54214
     3521.600     0.54169
     3521.700     0.54118
     3521.800     0.54066
     3521.900     0.54015
     3522.000     0.53964
     3522.100     0.53913
     3522.200     0.53862
     3522.300     0.53811
     3522.400     0.53760
     3522.500     0.53731
     3522.600     0.53704
     3522.700     0.53677
     3522.800     0.53651
     3522.900     0.53624
     3523.000     0.53597
     3523.100     0.53570
     3523.200     0.53544
     3523.300     0.53521
     3523.400     0.53499
     3523.500     0.53478
     3523.600     0.53456
     3523.700     0.53435
     3523.800     0.53413
     3523.900     0.53392
     3524.000     0.53370
     3524.100     0.53337
     3524.200     0.53298
     3524.300     0.53258
     3524.400     0.53219
     3524.500     0.53180
     3524.600     0.53140
     3524.700     0.53101
     3524.800     0.53062
     3524.900     0.53051
     3525.000     0.53064
     3525.100     0.53077
     3525.200     0.53090
     3525.300     0.53103
     3525.400     0.53116
     3525.500     0.53129
     3525.600     0.53141
     3525.700     0.53147
     3525.800     0.53142
     3525.900     0.53137
     3526.000     0.53132
     3526.100     0.53127
     3526.200     0.53123
     3526.300     0.53118
     3526.400     0.53113
     3526.500     0.53104
     3526.600     0.53087
     3526.700     0.53070
     3526.800     0.53053
     3526.900     0.53036
     3527.000     0.53018
     3527.100     0.53001
     3527.200     0.52984
     3527.300     0.52961
     3527.400     0.52912
     3527.500     0.52864
     3527.600     0.52816
     3527.700     0.52767
     3527.800     0.52719
     3527.900     0.52670
     3528.000     0.52622
     3528.100     0.52578
     3528.200     0.52586
     3528.300     0.52593
     3528.400     0.52601
     3528.500     0.52609
     3528.600     0.52617
     3528.700     0.52625
     3528.800     0.52633
     3528.900     0.52641
     3529.000     0.52606
     3529.100     0.52570
     3529.200     0.52533
     3529.300     0.52496
     3529.400     0.52459
     3529.500     0.52422
     3529.600     0.52386
     3529.700     0.52349
     3529.800     0.52284
     3529.900     0.52214
     3530.000     0.52143
     3530.100     0.52072
     3530.200     0.52002
     3530.300     0.51931
     3530.400     0.51860
     3530.500     0.51789
     3530.600     0.51774
     3530.700     0.51783
     3530.800     0.51792
     3530.900     0.51801
     3531.000     0.51810
     3531.100     0.51819
     3531.200     0.51828
     3531.300     0.51837
     3531.400     0.51834
     3531.500     0.51823
     3531.600     0.51812
     3531.700     0.51800
     3531.800     0.51789
     3531.900     0.51777
     3532.000     0.51766
     3532.100     0.51754
     3532.200     0.51747
     3532.300     0.51745
     3532.400     0.51743
     3532.500     0.51741
     3532.600     0.51739
     3532.700     0.51737
     3532.800     0.51735
     3532.900     0.51732
     3533.000     0.51725
     3533.100     0.51706
     3533.200     0.51687
     3533.300     0.51668
     3533.400     0.51649
     3533.500     0.51631
     3533.600     0.51612
     3533.700     0.51593
     3533.800     0.51568
     3533.900     0.51511
     3534.000     0.51455
     3534.100     0.51398
     3534.200     0.51342
     3534.300     0.51285
     3534.400     0.51229
     3534.500     0.51172
     3534.600     0.51117
     3534.700     0.51097
     3534.800     0.51077
     3534.900     0.51057
     3535.000     0.51037
     3535.100     0.51017
     3535.200     0.50997
     3535.300     0.50977
     3535.400     0.50957
     3535.500     0.50969
     3535.600     0.50985
     3535.700     0.51001
     3535.800     0.51017
     3535.900     0.51033
     3536.000     0.51049
     3536.100     0.51066
     3536.200     0.51082
     3536.300     0.51083
     3536.400     0.51080
     3536.500     0.51076
     3536.600     0.51072
     3536.700     0.51068
     3536.800     0.51065
     3536.900     0.51061
     3537.000     0.51057
     3537.100     0.51021
     3537.200     0.50963
     3537.300     0.50905
     3537.400     0.50847
     3537.500     0.50789
     3537.600     0.50731
     3537.700     0.50673
     3537.800     0.50615
     3537.900     0.50587
     3538.000     0.50596
     3538.100     0.50604
     3538.200     0.50612
     3538.300     0.50620
     3538.400     0.50629
     3538.500     0.50637
     3538.600     0.50645
     3538.700     0.50647
     3538.800     0.50634
     3538.900     0.50621
     3539.000     0.50609
     3539.100     0.50596
     3539.200     0.50583
     3539.300     0.50570
     3539.400     0.50557
     3539.500     0.50540
     3539.600     0.50497
     3539.700     0.50455
     3539.800     0.50412
     3539.900     0.50369
     3540.000     0.50327
     3540.100     0.50284
     3540.200     0.50241
     3540.300     0.50198
     3540.400     0.50142
     3540.500     0.50085
     3540.600     0.50028
     3540.700     0.49971
     3540.800     0.49914
     3540.900     0.49857
     3541.000     0.49801
     3541.100     0.49744
     3541.200     0.49727
     3541.300     0.49718
     3541.400     0.49709
     3541.500     0.49700
     3541.600     0.49691
     3541.700     0.49681
     3541.800     0.49672
     3541.900     0.49663
     3542.000     0.49683
     3542.100     0.49716
     3542.200     0.49749
     3542.300     0.49783
     3542.400     0.49816
     3542.500     0.49849
     3542.600     0.49882
     3542.700     0.49915
     3542.800     0.49920
     3542.900     0.49900
     3543.000     0.49881
     3543.100     0.49861
     3543.200     0.49841
     3543.300     0.49822
     3543.400     0.49802
     3543.500     0.49783
     3543.600     0.49773
     3543.700     0.49780
     3543.800     0.49786
     3543.900     0.49793
     3544.000     0.49799
     3544.100     0.49806
     3544.200     0.49812
     3544.300     0.49819
     3544.400     0.49823
     3544.500     0.49816
     3544.600     0.49810
     3544.700     0.49803
     3544.800     0.49796
     3544.900     0.49790
     3545.000     0.49783
     3545.100     0.49777
     3545.200     0.49768
     3545.300     0.49720
     3545.400     0.49672
     3545.500     0.49624
     3545.600     0.49575
     3545.700     0.49527
     3545.800     0.49479
     3545.900     0.49431
     3546.000     0.49383
     3546.100     0.49369
     3546.200     0.49360
     3546.300     0.49350
     3546.400     0.49340
     3546.500     0.49330
     3546.600     0.49321
     3546.700     0.49311
     3546.800     0.49301
     3546.900     0.49272
     3547.000     0.49237
     3547.100     0.49201
     3547.200     0.49166
     3547.300     0.49130
     3547.400     0.49095
     3547.500     0.49059
     3547.600     0.49023
     3547.700     0.49004
     3547.800     0.48997
     3547.900     0.48990
     3548.000     0.48983
     3548.100     0.48977
     3548.200     0.48970
     3548.300     0.48963
     3548.400     0.48956
     3548.500     0.48964
     3548.600     0.48994
     3548.700     0.49024
     3548.800     0.49054
     3548.900     0.49084
     3549.000     0.49115
     3549.100     0.49145
     3549.200     0.49175
     3549.300     0.49199
     3549.400     0.49200
     3549.500     0.49201
     3549.600     0.49202
     3549.700     0.49203
     3549.800     0.49204
     3549.900     0.49205
     3550.000     0.49206
     3550.100     0.49205
     3550.200     0.49165
     3550.300     0.49125
     3550.400     0.49086
     3550.500     0.49046
     3550.600     0.49006
     3550.700     0.48966
     3550.800     0.48926
     3550.900     0.48886
     3551.000     0.48921
     3551.100     0.48967
     3551.200     0.49012
     3551.300     0.49058
     3551.400     0.49103
     3551.500     0.49149
     3551.600     0.49195
     3551.700     0.49240
     3551.800     0.49261
     3551.900     0.49272
     3552.000     0.49282
     3552.100     0.49292
     3552.200     0.49303
     3552.300     0.49313
     3552.400     0.49323
     3552.500     0.49334
     3552.600     0.49316
     3552.700     0.49272
     3552.800     0.49229
     3552.900     0.49185
     3553.000     0.49141
     3553.100     0.49097
     3553.200     0.49054
     3553.300     0.49010
     3553.400     0.48981
     3553.500     0.48980
     3553.600     0.48979
     3553.700     0.48978
     3553.800     0.48977
     3553.900     0.48977
     3554.000     0.48976
     3554.100     0.48975
     3554.200     0.48972
     3554.300     0.48955
     3554.400     0.48939
     3554.500     0.48922
     3554.600     0.48906
     3554.700     0.48889
     3554.800     0.48873
     3554.900     0.48856
     3555.000     0.48840
     3555.100     0.48810
     3555.200     0.48780
     3555.300     0.48750
     3555.400     0.48720
     3555.500     0.48690
     3555.600     0.48659
     3555.700     0.48629
     3555.800     0.48599
     3555.900     0.48596
     3556.000     0.48601
     3556.100     0.48605
     3556.200     0.48610
     3556.300     0.48615
     3556.400     0.48619
     3556.500     0.48624
     3556.600     0.48628
     3556.700     0.48624
     3556.800     0.48613
     3556.900     0.48602
     3557.000     0.48591
     3557.100     0.48580
     3557.200     0.48569
     3557.300     0.48558
     3557.400     0.48547
     3557.500     0.48537
     3557.600     0.48528
     3557.700     0.48519
     3557.800     0.48510
     3557.900     0.48501
     3558.000     0.48492
     3558.100     0.48483
     3558.200     0.48474
     3558.300     0.48470
     3558.400     0.48485
     3558.500     0.48500
     3558.600     0.48515
     3558.700     0.48531
     3558.800     0.48546
     3558.900     0.48561
     3559.000     0.48576
     3559.100     0.48591
     3559.200     0.48589
     3559.300     0.48587
     3559.400     0.48585
     3559.500     0.48583
     3559.600     0.48581
     3559.700     0.48579
     3559.800     0.48577
     3559.900     0.48575
     3560.000     0.48563
     3560.100     0.48549
     3560.200     0.48534
     3560.300     0.48520
     3560.400     0.48506
     3560.500     0.48491
     3560.600     0.48477
     3560.700     0.48462
     3560.800     0.48453
     3560.900     0.48446
     3561.000     0.48440
     3561.100     0.48433
     3561.200     0.48427
     3561.300     0.48420
     3561.400     0.48414
     3561.500     0.48407
     3561.600     0.48401
     3561.700     0.48396
     3561.800     0.48392
     3561.900     0.48387
     3562.000     0.48382
     3562.100     0.48377
     3562.200     0.48372
     3562.300     0.48367
     3562.400     0.48360
     3562.500     0.48346
     3562.600     0.48332
     3562.700     0.48318
     3562.800     0.48304
     3562.900     0.48289
     3563.000     0.48275
     3563.100     0.48261
     3563.200     0.48247
     3563.300     0.48236
     3563.400     0.48225
     3563.500     0.48213
     3563.600     0.48202
     3563.700     0.48191
     3563.800     0.48180
     3563.900     0.48169
     3564.000     0.48158
     3564.100     0.48149
     3564.200     0.48140
     3564.300     0.48132
     3564.400     0.48124
     3564.500     0.48115
     3564.600     0.48107
     3564.700     0.48098
     3564.800     0.48090
     3564.900     0.48061
     3565.000     0.48017
     3565.100     0.47974
     3565.200     0.47931
     3565.300     0.47887
     3565.400     0.47844
     3565.500     0.47801
     3565.600     0.47757
     3565.700     0.47730
     3565.800     0.47729
     3565.900     0.47727
     3566.000     0.47725
     3566.100     0.47724
     3566.200     0.47722
     3566.300     0.47721
     3566.400     0.47719
     3566.500     0.47722
     3566.600     0.47743
     3566.700     0.47765
     3566.800     0.47787
     3566.900     0.47809
     3567.000     0.47831
     3567.100     0.47853
     3567.200     0.47875
     3567.300     0.47897
     3567.400     0.47885
     3567.500     0.47872
     3567.600     0.47858
     3567.700     0.47845
     3567.800     0.47832
     3567.900     0.47819
     3568.000     0.47806
     3568.100     0.47793
     3568.200     0.47758
     3568.300     0.47715
     3568.400     0.47673
     3568.500     0.47630
     3568.600     0.47588
     3568.700     0.47545
     3568.800     0.47503
     3568.900     0.47460
     3569.000     0.47440
     3569.100     0.47438
     3569.200     0.47437
     3569.300     0.47436
     3569.400     0.47435
     3569.500     0.47434
     3569.600     0.47432
     3569.700     0.47431
     3569.800     0.47431
     3569.900     0.47435
     3570.000     0.47439
     3570.100     0.47443
     3570.200     0.47447
     3570.300     0.47451
     3570.400     0.47454
     3570.500     0.47458
     3570.600     0.47458
     3570.700     0.47424
     3570.800     0.47390
     3570.900     0.47355
     3571.000     0.47321
     3571.100     0.47287
     3571.200     0.47252
     3571.300     0.47218
     3571.400     0.47183
     3571.500     0.47186
     3571.600     0.47193
     3571.700     0.47200
     3571.800     0.47207
     3571.900     0.47215
     3572.000     0.47222
     3572.100     0.47229
     3572.200     0.47236
     3572.300     0.47233
     3572.400     0.47225
     3572.500     0.47216
     3572.600     0.47208
     3572.700     0.47199
     3572.800     0.47191
     3572.900     0.47182
     3573.000     0.47173
     3573.100     0.47164
     3573.200     0.47154
     3573.300     0.47144
     3573.400     0.47134
     3573.500     0.47124
     3573.600     0.47114
     3573.700     0.47104
     3573.800     0.47094
     3573.900     0.47091
     3574.000     0.47119
     3574.100     0.47146
     3574.200     0.47174
     3574.300     0.47201
     3574.400     0.47229
     3574.500     0.47256
     3574.600     0.47284
     3574.700     0.47311
     3574.800     0.47293
     3574.900     0.47274
     3575.000     0.47255
     3575.100     0.47236
     3575.200     0.47216
     3575.300     0.47197
     3575.400     0.47178
     3575.500     0.47158
     3575.600     0.47142
     3575.700     0.47126
     3575.800     0.47111
     3575.900     0.47095
     3576.000     0.47080
     3576.100     0.47065
     3576.200     0.47049
     3576.300     0.47034
     3576.400     0.47031
     3576.500     0.47042
     3576.600     0.47052
     3576.700     0.47063
     3576.800     0.47073
     3576.900     0.47083
     3577.000     0.47094
     3577.100     0.47104
     3577.200     0.47103
     3577.300     0.47067
     3577.400     0.47032
     3577.500     0.46996
     3577.600     0.46961
     3577.700     0.46925
     3577.800     0.46890
