#   WAVELENGTH        FLUX
#------------- -----------
     3528.800     0.13376
     3528.900     0.13383
     3529.000     0.13389
     3529.100     0.13395
     3529.200     0.13402
     3529.300     0.13408
     3529.400     0.13415
     3529.500     0.13421
     3529.600     0.13427
     3529.700     0.13431
     3529.800     0.13434
     3529.900     0.13438
     3530.000     0.13441
     3530.100     0.13444
     3530.200     0.13447
     3530.300     0.13451
     3530.400     0.13454
     3530.500     0.13453
     3530.600     0.13451
     3530.700     0.13450
     3530.800     0.13448
     3530.900     0.13446
     3531.000     0.13444
     3531.100     0.13443
     3531.200     0.13441
     3531.300     0.13435
     3531.400     0.13428
     3531.500     0.13421
     3531.600     0.13413
     3531.700     0.13406
     3531.800     0.13398
     3531.900     0.13391
     3532.000     0.13384
     3532.100     0.13374
     3532.200     0.13362
     3532.300     0.13350
     3532.400     0.13338
     3532.500     0.13326
     3532.600     0.13314
     3532.700     0.13302
     3532.800     0.13291
     3532.900     0.13278
     3533.000     0.13264
     3533.100     0.13251
     3533.200     0.13237
     3533.300     0.13224
     3533.400     0.13210
     3533.500     0.13197
     3533.600     0.13183
     3533.700     0.13171
     3533.800     0.13160
     3533.900     0.13149
     3534.000     0.13138
     3534.100     0.13127
     3534.200     0.13116
     3534.300     0.13105
     3534.400     0.13094
     3534.500     0.13084
     3534.600     0.13079
     3534.700     0.13075
     3534.800     0.13070
     3534.900     0.13066
     3535.000     0.13061
     3535.100     0.13056
     3535.200     0.13052
     3535.300     0.13048
     3535.400     0.13052
     3535.500     0.13057
     3535.600     0.13061
     3535.700     0.13066
     3535.800     0.13071
     3535.900     0.13075
     3536.000     0.13080
     3536.100     0.13084
     3536.200     0.13097
     3536.300     0.13111
     3536.400     0.13125
     3536.500     0.13139
     3536.600     0.13153
     3536.700     0.13167
     3536.800     0.13181
     3536.900     0.13195
     3537.000     0.13215
     3537.100     0.13236
     3537.200     0.13258
     3537.300     0.13279
     3537.400     0.13300
     3537.500     0.13321
     3537.600     0.13343
     3537.700     0.13364
     3537.800     0.13388
     3537.900     0.13412
     3538.000     0.13437
     3538.100     0.13462
     3538.200     0.13487
     3538.300     0.13512
     3538.400     0.13537
     3538.500     0.13562
     3538.600     0.13587
     3538.700     0.13611
     3538.800     0.13636
     3538.900     0.13661
     3539.000     0.13685
     3539.100     0.13710
     3539.200     0.13735
     3539.300     0.13760
     3539.400     0.13783
     3539.500     0.13805
     3539.600     0.13827
     3539.700     0.13848
     3539.800     0.13870
     3539.900     0.13891
     3540.000     0.13913
     3540.100     0.13935
     3540.200     0.13956
     3540.300     0.13973
     3540.400     0.13990
     3540.500     0.14008
     3540.600     0.14025
     3540.700     0.14042
     3540.800     0.14060
     3540.900     0.14077
     3541.000     0.14095
     3541.100     0.14108
     3541.200     0.14121
     3541.300     0.14135
     3541.400     0.14148
     3541.500     0.14161
     3541.600     0.14175
     3541.700     0.14188
     3541.800     0.14202
     3541.900     0.14213
     3542.000     0.14223
     3542.100     0.14234
     3542.200     0.14244
     3542.300     0.14255
     3542.400     0.14266
     3542.500     0.14276
     3542.600     0.14287
     3542.700     0.14297
     3542.800     0.14306
     3542.900     0.14315
     3543.000     0.14324
     3543.100     0.14334
     3543.200     0.14343
     3543.300     0.14352
     3543.400     0.14361
     3543.500     0.14370
     3543.600     0.14379
     3543.700     0.14388
     3543.800     0.14397
     3543.900     0.14406
     3544.000     0.14415
     3544.100     0.14424
     3544.200     0.14433
     3544.300     0.14442
     3544.400     0.14452
     3544.500     0.14461
     3544.600     0.14470
     3544.700     0.14480
     3544.800     0.14489
     3544.900     0.14498
     3545.000     0.14508
     3545.100     0.14517
     3545.200     0.14527
     3545.300     0.14537
     3545.400     0.14546
     3545.500     0.14556
     3545.600     0.14566
     3545.700     0.14576
     3545.800     0.14586
     3545.900     0.14596
     3546.000     0.14606
     3546.100     0.14616
     3546.200     0.14626
     3546.300     0.14637
     3546.400     0.14647
     3546.500     0.14657
     3546.600     0.14668
     3546.700     0.14678
     3546.800     0.14688
     3546.900     0.14699
     3547.000     0.14709
     3547.100     0.14720
     3547.200     0.14730
     3547.300     0.14741
     3547.400     0.14751
     3547.500     0.14762
     3547.600     0.14772
     3547.700     0.14783
     3547.800     0.14793
     3547.900     0.14804
     3548.000     0.14814
     3548.100     0.14825
     3548.200     0.14835
     3548.300     0.14846
     3548.400     0.14856
     3548.500     0.14866
     3548.600     0.14877
     3548.700     0.14887
     3548.800     0.14897
     3548.900     0.14907
     3549.000     0.14917
     3549.100     0.14927
     3549.200     0.14937
     3549.300     0.14946
     3549.400     0.14955
     3549.500     0.14964
     3549.600     0.14973
     3549.700     0.14982
     3549.800     0.14991
     3549.900     0.15001
     3550.000     0.15009
     3550.100     0.15016
     3550.200     0.15023
     3550.300     0.15030
     3550.400     0.15037
     3550.500     0.15044
     3550.600     0.15051
     3550.700     0.15058
     3550.800     0.15065
     3550.900     0.15069
     3551.000     0.15073
     3551.100     0.15077
     3551.200     0.15081
     3551.300     0.15085
     3551.400     0.15089
     3551.500     0.15093
     3551.600     0.15096
     3551.700     0.15097
     3551.800     0.15096
     3551.900     0.15096
     3552.000     0.15096
     3552.100     0.15095
     3552.200     0.15095
     3552.300     0.15095
     3552.400     0.15094
     3552.500     0.15091
     3552.600     0.15086
     3552.700     0.15081
     3552.800     0.15076
     3552.900     0.15071
     3553.000     0.15066
     3553.100     0.15061
     3553.200     0.15056
     3553.300     0.15049
     3553.400     0.15040
     3553.500     0.15031
     3553.600     0.15021
     3553.700     0.15012
     3553.800     0.15003
     3553.900     0.14994
     3554.000     0.14985
     3554.100     0.14975
     3554.200     0.14963
     3554.300     0.14951
     3554.400     0.14939
     3554.500     0.14927
     3554.600     0.14915
     3554.700     0.14903
     3554.800     0.14891
     3554.900     0.14878
     3555.000     0.14865
     3555.100     0.14852
     3555.200     0.14839
     3555.300     0.14826
     3555.400     0.14813
     3555.500     0.14799
     3555.600     0.14786
     3555.700     0.14773
     3555.800     0.14760
     3555.900     0.14747
     3556.000     0.14734
     3556.100     0.14722
     3556.200     0.14709
     3556.300     0.14696
     3556.400     0.14683
     3556.500     0.14670
     3556.600     0.14658
     3556.700     0.14646
     3556.800     0.14634
     3556.900     0.14622
     3557.000     0.14611
     3557.100     0.14599
     3557.200     0.14587
     3557.300     0.14575
     3557.400     0.14564
     3557.500     0.14553
     3557.600     0.14542
     3557.700     0.14531
     3557.800     0.14520
     3557.900     0.14509
     3558.000     0.14499
     3558.100     0.14488
     3558.200     0.14477
     3558.300     0.14467
     3558.400     0.14456
     3558.500     0.14446
     3558.600     0.14436
     3558.700     0.14425
     3558.800     0.14415
     3558.900     0.14404
     3559.000     0.14394
