#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.26116
     3500.100     0.26105
     3500.200     0.26094
     3500.300     0.26083
     3500.400     0.26072
     3500.500     0.26061
     3500.600     0.26050
     3500.700     0.26039
     3500.800     0.26027
     3500.900     0.26016
     3501.000     0.26005
     3501.100     0.25994
     3501.200     0.25983
     3501.300     0.25972
     3501.400     0.25961
     3501.500     0.25950
     3501.600     0.25939
     3501.700     0.25928
     3501.800     0.25917
     3501.900     0.25906
     3502.000     0.25895
     3502.100     0.25883
     3502.200     0.25872
     3502.300     0.25861
     3502.400     0.25850
     3502.500     0.25839
     3502.600     0.25828
     3502.700     0.25817
     3502.800     0.25806
     3502.900     0.25795
     3503.000     0.25784
     3503.100     0.25773
     3503.200     0.25762
     3503.300     0.25751
     3503.400     0.25739
     3503.500     0.25728
     3503.600     0.25717
     3503.700     0.25706
     3503.800     0.25695
     3503.900     0.25684
     3504.000     0.25673
     3504.100     0.25662
     3504.200     0.25651
     3504.300     0.25640
     3504.400     0.25629
     3504.500     0.25618
     3504.600     0.25607
     3504.700     0.25596
     3504.800     0.25584
     3504.900     0.25573
     3505.000     0.25562
     3505.100     0.25551
     3505.200     0.25540
     3505.300     0.25529
     3505.400     0.25518
     3505.500     0.25507
     3505.600     0.25496
     3505.700     0.25485
     3505.800     0.25474
     3505.900     0.25463
     3506.000     0.25452
     3506.100     0.25440
     3506.200     0.25429
     3506.300     0.25418
     3506.400     0.25407
     3506.500     0.25396
     3506.600     0.25385
     3506.700     0.25374
     3506.800     0.25363
     3506.900     0.25352
     3507.000     0.25341
     3507.100     0.25330
     3507.200     0.25319
     3507.300     0.25308
     3507.400     0.25296
     3507.500     0.25285
     3507.600     0.25274
     3507.700     0.25263
     3507.800     0.25252
     3507.900     0.25241
     3508.000     0.25230
     3508.100     0.25219
     3508.200     0.25208
     3508.300     0.25197
     3508.400     0.25186
     3508.500     0.25175
     3508.600     0.25164
     3508.700     0.25152
     3508.800     0.25141
     3508.900     0.25130
     3509.000     0.25119
     3509.100     0.25108
     3509.200     0.25097
     3509.300     0.25086
     3509.400     0.25075
     3509.500     0.25064
     3509.600     0.25053
     3509.700     0.25042
     3509.800     0.25031
     3509.900     0.25020
     3510.000     0.25008
     3510.100     0.24997
     3510.200     0.24986
     3510.300     0.24975
     3510.400     0.24964
     3510.500     0.24953
     3510.600     0.24942
     3510.700     0.24931
     3510.800     0.24920
     3510.900     0.24909
     3511.000     0.24898
     3511.100     0.24887
     3511.200     0.24876
     3511.300     0.24865
     3511.400     0.24853
     3511.500     0.24842
     3511.600     0.24831
     3511.700     0.24820
     3511.800     0.24809
     3511.900     0.24798
     3512.000     0.24787
     3512.100     0.24776
     3512.200     0.24765
     3512.300     0.24754
     3512.400     0.24743
     3512.500     0.24732
     3512.600     0.24721
     3512.700     0.24709
     3512.800     0.24698
     3512.900     0.24687
     3513.000     0.24676
     3513.100     0.24665
     3513.200     0.24654
     3513.300     0.24643
     3513.400     0.24632
     3513.500     0.24621
     3513.600     0.24610
     3513.700     0.24599
     3513.800     0.24588
     3513.900     0.24577
     3514.000     0.24565
     3514.100     0.24554
     3514.200     0.24543
     3514.300     0.24532
     3514.400     0.24521
     3514.500     0.24510
     3514.600     0.24499
     3514.700     0.24488
     3514.800     0.24477
     3514.900     0.24466
     3515.000     0.24455
     3515.100     0.24444
     3515.200     0.24433
     3515.300     0.24421
     3515.400     0.24410
     3515.500     0.24399
     3515.600     0.24388
