#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.47296
     3500.100     0.47298
     3500.200     0.47281
     3500.300     0.47265
     3500.400     0.47248
     3500.500     0.47231
     3500.600     0.47214
     3500.700     0.47198
     3500.800     0.47181
     3500.900     0.47167
     3501.000     0.47189
     3501.100     0.47211
     3501.200     0.47233
     3501.300     0.47255
     3501.400     0.47277
     3501.500     0.47299
     3501.600     0.47321
     3501.700     0.47343
     3501.800     0.47421
     3501.900     0.47499
     3502.000     0.47578
     3502.100     0.47656
     3502.200     0.47734
     3502.300     0.47813
     3502.400     0.47891
     3502.500     0.47969
     3502.600     0.48012
     3502.700     0.48053
     3502.800     0.48094
     3502.900     0.48135
     3503.000     0.48176
     3503.100     0.48217
     3503.200     0.48258
     3503.300     0.48298
     3503.400     0.48324
     3503.500     0.48348
     3503.600     0.48371
     3503.700     0.48395
     3503.800     0.48418
     3503.900     0.48442
     3504.000     0.48465
     3504.100     0.48489
     3504.200     0.48441
     3504.300     0.48374
     3504.400     0.48308
     3504.500     0.48242
     3504.600     0.48176
     3504.700     0.48110
     3504.800     0.48044
     3504.900     0.47978
     3505.000     0.47943
     3505.100     0.47919
     3505.200     0.47896
     3505.300     0.47872
     3505.400     0.47848
     3505.500     0.47825
     3505.600     0.47801
     3505.700     0.47777
     3505.800     0.47764
     3505.900     0.47756
     3506.000     0.47748
     3506.100     0.47740
     3506.200     0.47732
     3506.300     0.47724
     3506.400     0.47716
     3506.500     0.47708
     3506.600     0.47738
     3506.700     0.47795
     3506.800     0.47852
     3506.900     0.47909
     3507.000     0.47966
     3507.100     0.48022
     3507.200     0.48079
     3507.300     0.48136
     3507.400     0.48192
     3507.500     0.48247
     3507.600     0.48303
     3507.700     0.48358
     3507.800     0.48413
     3507.900     0.48469
     3508.000     0.48524
     3508.100     0.48579
     3508.200     0.48597
     3508.300     0.48565
     3508.400     0.48533
     3508.500     0.48502
     3508.600     0.48470
     3508.700     0.48439
     3508.800     0.48407
     3508.900     0.48376
     3509.000     0.48352
     3509.100     0.48344
     3509.200     0.48335
     3509.300     0.48327
     3509.400     0.48318
     3509.500     0.48310
     3509.600     0.48301
     3509.700     0.48293
     3509.800     0.48292
     3509.900     0.48313
     3510.000     0.48333
     3510.100     0.48354
     3510.200     0.48374
     3510.300     0.48395
     3510.400     0.48416
     3510.500     0.48436
     3510.600     0.48460
     3510.700     0.48500
     3510.800     0.48540
     3510.900     0.48580
     3511.000     0.48620
     3511.100     0.48660
     3511.200     0.48700
     3511.300     0.48740
     3511.400     0.48778
     3511.500     0.48794
     3511.600     0.48810
     3511.700     0.48826
     3511.800     0.48842
     3511.900     0.48858
     3512.000     0.48874
     3512.100     0.48890
     3512.200     0.48905
     3512.300     0.48889
     3512.400     0.48873
     3512.500     0.48858
     3512.600     0.48842
     3512.700     0.48826
     3512.800     0.48810
     3512.900     0.48794
     3513.000     0.48779
     3513.100     0.48758
     3513.200     0.48736
     3513.300     0.48715
     3513.400     0.48693
     3513.500     0.48672
     3513.600     0.48650
     3513.700     0.48629
     3513.800     0.48608
     3513.900     0.48586
     3514.000     0.48563
     3514.100     0.48541
     3514.200     0.48519
     3514.300     0.48496
     3514.400     0.48474
     3514.500     0.48452
     3514.600     0.48430
     3514.700     0.48436
     3514.800     0.48452
     3514.900     0.48468
     3515.000     0.48485
     3515.100     0.48501
     3515.200     0.48517
     3515.300     0.48533
     3515.400     0.48549
     3515.500     0.48546
     3515.600     0.48532
     3515.700     0.48519
     3515.800     0.48506
     3515.900     0.48493
     3516.000     0.48479
     3516.100     0.48466
     3516.200     0.48453
     3516.300     0.48386
     3516.400     0.48277
     3516.500     0.48169
     3516.600     0.48061
     3516.700     0.47953
     3516.800     0.47844
     3516.900     0.47736
     3517.000     0.47628
     3517.100     0.47592
     3517.200     0.47637
     3517.300     0.47682
     3517.400     0.47727
     3517.500     0.47772
     3517.600     0.47817
     3517.700     0.47863
     3517.800     0.47908
     3517.900     0.47978
     3518.000     0.48090
     3518.100     0.48203
     3518.200     0.48315
     3518.300     0.48427
     3518.400     0.48540
     3518.500     0.48652
     3518.600     0.48765
     3518.700     0.48852
     3518.800     0.48873
     3518.900     0.48894
     3519.000     0.48915
     3519.100     0.48936
     3519.200     0.48957
     3519.300     0.48978
     3519.400     0.48999
     3519.500     0.49012
     3519.600     0.48988
     3519.700     0.48965
     3519.800     0.48941
     3519.900     0.48917
     3520.000     0.48894
     3520.100     0.48870
     3520.200     0.48847
     3520.300     0.48820
     3520.400     0.48754
     3520.500     0.48687
     3520.600     0.48620
     3520.700     0.48554
     3520.800     0.48487
     3520.900     0.48420
     3521.000     0.48353
     3521.100     0.48287
     3521.200     0.48292
     3521.300     0.48301
     3521.400     0.48310
     3521.500     0.48319
     3521.600     0.48328
     3521.700     0.48338
     3521.800     0.48347
     3521.900     0.48356
     3522.000     0.48430
     3522.100     0.48516
     3522.200     0.48602
     3522.300     0.48688
     3522.400     0.48774
     3522.500     0.48860
     3522.600     0.48946
     3522.700     0.49032
     3522.800     0.49098
     3522.900     0.49158
     3523.000     0.49218
     3523.100     0.49277
     3523.200     0.49337
     3523.300     0.49396
     3523.400     0.49456
     3523.500     0.49516
     3523.600     0.49543
     3523.700     0.49551
     3523.800     0.49558
     3523.900     0.49566
     3524.000     0.49574
     3524.100     0.49581
     3524.200     0.49589
     3524.300     0.49597
     3524.400     0.49607
     3524.500     0.49619
     3524.600     0.49631
     3524.700     0.49644
     3524.800     0.49656
     3524.900     0.49668
     3525.000     0.49681
     3525.100     0.49693
     3525.200     0.49699
     3525.300     0.49694
     3525.400     0.49690
     3525.500     0.49685
     3525.600     0.49681
     3525.700     0.49676
     3525.800     0.49672
     3525.900     0.49668
     3526.000     0.49650
     3526.100     0.49596
     3526.200     0.49542
     3526.300     0.49488
     3526.400     0.49434
     3526.500     0.49380
     3526.600     0.49327
     3526.700     0.49273
     3526.800     0.49230
     3526.900     0.49245
     3527.000     0.49260
     3527.100     0.49274
     3527.200     0.49289
     3527.300     0.49304
     3527.400     0.49319
     3527.500     0.49334
     3527.600     0.49348
     3527.700     0.49328
     3527.800     0.49308
     3527.900     0.49288
     3528.000     0.49268
     3528.100     0.49249
     3528.200     0.49229
     3528.300     0.49209
     3528.400     0.49189
     3528.500     0.49126
     3528.600     0.49059
     3528.700     0.48993
     3528.800     0.48926
     3528.900     0.48859
     3529.000     0.48792
     3529.100     0.48725
     3529.200     0.48658
     3529.300     0.48572
     3529.400     0.48481
     3529.500     0.48390
     3529.600     0.48299
     3529.700     0.48208
     3529.800     0.48116
     3529.900     0.48025
     3530.000     0.47934
     3530.100     0.47849
     3530.200     0.47768
     3530.300     0.47687
     3530.400     0.47606
     3530.500     0.47525
     3530.600     0.47444
     3530.700     0.47363
     3530.800     0.47282
     3530.900     0.47255
     3531.000     0.47277
     3531.100     0.47299
     3531.200     0.47320
     3531.300     0.47342
     3531.400     0.47364
     3531.500     0.47386
     3531.600     0.47407
     3531.700     0.47427
     3531.800     0.47443
     3531.900     0.47459
     3532.000     0.47475
     3532.100     0.47491
     3532.200     0.47508
     3532.300     0.47524
     3532.400     0.47540
     3532.500     0.47549
     3532.600     0.47536
     3532.700     0.47524
     3532.800     0.47511
     3532.900     0.47499
     3533.000     0.47486
     3533.100     0.47474
     3533.200     0.47461
     3533.300     0.47436
     3533.400     0.47327
     3533.500     0.47217
     3533.600     0.47107
     3533.700     0.46998
     3533.800     0.46888
     3533.900     0.46778
     3534.000     0.46669
     3534.100     0.46559
     3534.200     0.46526
     3534.300     0.46493
     3534.400     0.46460
     3534.500     0.46428
     3534.600     0.46395
     3534.700     0.46362
