# INFILE= spec-elg-z1.622.dat
# AIRMASS= 1.00000
# MODEL= elg
# EXPTIME= 1000.00
# READNOISE= 3.00000;2.90000;2.90000
#
# Median (S/N)= 0.0000000
# Total (S/N)^2= 59.402461
#
# Wave    Flux        Invvar      S/N         Counts_obj  Counts_sky  Counts_read  FWHM
# [Ang] [e-17 erg/s/cm^2/Ang] [1/(e-17 erg/s/cm^2/Ang)^2] [] [electrons] [electrons] [electrons] [Ang]
  3540.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.1848e+01  5.2092e+00   1.740
  3541.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.3670e+01  5.2088e+00   1.740
  3541.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.5287e+01  5.2084e+00   1.740
  3542.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.7633e+01  5.2080e+00   1.740
  3542.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1809e+01  5.2076e+00   1.740
  3543.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.6782e+01  5.2072e+00   1.740
  3543.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.9859e+01  5.2068e+00   1.740
  3544.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  4.0341e+01  5.2064e+00   1.740
  3544.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.9761e+01  5.2060e+00   1.740
  3545.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.8445e+01  5.2056e+00   1.740
  3545.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.5660e+01  5.2052e+00   1.740
  3546.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2555e+01  5.2048e+00   1.740
  3546.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1316e+01  5.2044e+00   1.740
  3547.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2125e+01  5.2040e+00   1.740
  3547.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.3249e+01  5.2036e+00   1.740
  3548.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.3505e+01  5.2032e+00   1.740
  3548.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.3178e+01  5.2028e+00   1.740
  3549.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2775e+01  5.2024e+00   1.740
  3549.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2266e+01  5.2020e+00   1.740
  3550.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1733e+01  5.2016e+00   1.740
  3550.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1569e+01  5.2012e+00   1.740
  3551.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1717e+01  5.2008e+00   1.740
  3551.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1490e+01  5.2004e+00   1.740
  3552.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.0602e+01  5.2000e+00   1.740
  3552.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.9946e+01  5.1996e+00   1.740
  3553.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.0643e+01  5.1992e+00   1.740
  3553.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2582e+01  5.1988e+00   1.740
  3554.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.4794e+01  5.1984e+00   1.740
  3554.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.6703e+01  5.1980e+00   1.740
  3555.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.7702e+01  5.1976e+00   1.740
  3555.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.7009e+01  5.1972e+00   1.739
  3556.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.5279e+01  5.1968e+00   1.739
  3556.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.3975e+01  5.1964e+00   1.739
  3557.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2956e+01  5.1960e+00   1.739
  3557.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1580e+01  5.1956e+00   1.739
  3558.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.0982e+01  5.1951e+00   1.739
  3558.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2224e+01  5.1947e+00   1.739
  3559.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.3655e+01  5.1943e+00   1.739
  3559.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.2705e+01  5.1939e+00   1.739
  3560.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.9460e+01  5.1935e+00   1.739
  3560.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.6752e+01  5.1931e+00   1.739
  3561.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.7029e+01  5.1927e+00   1.739
  3561.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.9662e+01  5.1923e+00   1.739
  3562.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1566e+01  5.1919e+00   1.739
  3562.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.0810e+01  5.1915e+00   1.739
  3563.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.8755e+01  5.1911e+00   1.739
  3563.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.7894e+01  5.1907e+00   1.739
  3564.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.9079e+01  5.1903e+00   1.739
  3564.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1157e+01  5.1899e+00   1.739
  3565.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  3.1726e+01  5.1895e+00   1.739
  3565.50  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.9139e+01  5.1891e+00   1.739
  3566.00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  2.4697e+01  5.1887e+00   1.739
