#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.19784
     3500.100     0.19794
     3500.200     0.19804
     3500.300     0.19815
     3500.400     0.19827
     3500.500     0.19839
     3500.600     0.19851
     3500.700     0.19863
     3500.800     0.19874
     3500.900     0.19886
     3501.000     0.19898
     3501.100     0.19910
     3501.200     0.19920
     3501.300     0.19930
     3501.400     0.19940
     3501.500     0.19951
     3501.600     0.19961
     3501.700     0.19971
     3501.800     0.19981
     3501.900     0.19991
     3502.000     0.19996
     3502.100     0.20001
     3502.200     0.20007
     3502.300     0.20012
     3502.400     0.20017
     3502.500     0.20022
     3502.600     0.20028
     3502.700     0.20033
     3502.800     0.20032
     3502.900     0.20031
     3503.000     0.20030
     3503.100     0.20029
     3503.200     0.20028
     3503.300     0.20027
     3503.400     0.20026
     3503.500     0.20025
     3503.600     0.20019
     3503.700     0.20014
     3503.800     0.20008
     3503.900     0.20002
     3504.000     0.19996
     3504.100     0.19991
     3504.200     0.19985
     3504.300     0.19979
     3504.400     0.19973
     3504.500     0.19967
     3504.600     0.19960
     3504.700     0.19954
     3504.800     0.19948
     3504.900     0.19942
     3505.000     0.19935
     3505.100     0.19929
     3505.200     0.19927
     3505.300     0.19925
     3505.400     0.19924
     3505.500     0.19923
     3505.600     0.19921
     3505.700     0.19920
     3505.800     0.19918
     3505.900     0.19917
     3506.000     0.19922
     3506.100     0.19929
     3506.200     0.19936
     3506.300     0.19943
     3506.400     0.19950
     3506.500     0.19958
     3506.600     0.19965
     3506.700     0.19972
     3506.800     0.19985
     3506.900     0.20001
     3507.000     0.20017
     3507.100     0.20033
     3507.200     0.20049
     3507.300     0.20065
     3507.400     0.20081
     3507.500     0.20097
     3507.600     0.20116
     3507.700     0.20138
     3507.800     0.20159
     3507.900     0.20180
     3508.000     0.20201
     3508.100     0.20222
     3508.200     0.20243
     3508.300     0.20264
     3508.400     0.20284
     3508.500     0.20304
     3508.600     0.20324
     3508.700     0.20344
     3508.800     0.20364
     3508.900     0.20383
     3509.000     0.20403
     3509.100     0.20423
     3509.200     0.20439
     3509.300     0.20451
     3509.400     0.20463
     3509.500     0.20475
     3509.600     0.20487
     3509.700     0.20499
     3509.800     0.20511
     3509.900     0.20523
     3510.000     0.20531
     3510.100     0.20531
     3510.200     0.20531
     3510.300     0.20531
     3510.400     0.20531
     3510.500     0.20531
     3510.600     0.20531
     3510.700     0.20531
     3510.800     0.20528
     3510.900     0.20515
     3511.000     0.20502
     3511.100     0.20490
     3511.200     0.20477
     3511.300     0.20465
     3511.400     0.20452
     3511.500     0.20439
     3511.600     0.20425
     3511.700     0.20402
     3511.800     0.20380
     3511.900     0.20357
     3512.000     0.20334
     3512.100     0.20312
     3512.200     0.20289
     3512.300     0.20267
     3512.400     0.20243
     3512.500     0.20216
     3512.600     0.20188
     3512.700     0.20160
     3512.800     0.20132
     3512.900     0.20104
     3513.000     0.20076
     3513.100     0.20048
     3513.200     0.20020
     3513.300     0.19993
     3513.400     0.19965
     3513.500     0.19937
     3513.600     0.19909
     3513.700     0.19882
     3513.800     0.19854
     3513.900     0.19826
     3514.000     0.19799
     3514.100     0.19776
     3514.200     0.19754
     3514.300     0.19732
