#   WAVELENGTH        FLUX
#------------- -----------
     3528.800      1.0599
     3528.900      1.0600
     3529.000      1.0593
     3529.100      1.0586
     3529.200      1.0579
     3529.300      1.0571
     3529.400      1.0564
     3529.500      1.0556
     3529.600      1.0549
     3529.700      1.0542
     3529.800      1.0529
     3529.900      1.0514
     3530.000      1.0500
     3530.100      1.0486
     3530.200      1.0472
     3530.300      1.0457
     3530.400      1.0443
     3530.500      1.0429
     3530.600      1.0426
     3530.700      1.0428
     3530.800      1.0429
     3530.900      1.0431
     3531.000      1.0433
     3531.100      1.0435
     3531.200      1.0437
     3531.300      1.0439
     3531.400      1.0438
     3531.500      1.0436
     3531.600      1.0433
     3531.700      1.0431
     3531.800      1.0429
     3531.900      1.0427
     3532.000      1.0424
     3532.100      1.0422
     3532.200      1.0420
     3532.300      1.0420
     3532.400      1.0420
     3532.500      1.0419
     3532.600      1.0419
     3532.700      1.0418
     3532.800      1.0418
     3532.900      1.0417
     3533.000      1.0416
     3533.100      1.0412
     3533.200      1.0408
     3533.300      1.0405
     3533.400      1.0401
     3533.500      1.0397
     3533.600      1.0393
     3533.700      1.0389
     3533.800      1.0384
     3533.900      1.0373
     3534.000      1.0362
     3534.100      1.0350
     3534.200      1.0339
     3534.300      1.0327
     3534.400      1.0316
     3534.500      1.0305
     3534.600      1.0293
     3534.700      1.0289
     3534.800      1.0285
     3534.900      1.0281
     3535.000      1.0277
     3535.100      1.0273
     3535.200      1.0269
     3535.300      1.0265
     3535.400      1.0261
     3535.500      1.0264
     3535.600      1.0267
     3535.700      1.0270
     3535.800      1.0273
     3535.900      1.0277
     3536.000      1.0280
     3536.100      1.0283
     3536.200      1.0286
     3536.300      1.0287
     3536.400      1.0286
     3536.500      1.0285
     3536.600      1.0285
     3536.700      1.0284
     3536.800      1.0283
     3536.900      1.0282
     3537.000      1.0282
     3537.100      1.0274
     3537.200      1.0263
     3537.300      1.0251
     3537.400      1.0239
     3537.500      1.0228
     3537.600      1.0216
     3537.700      1.0204
     3537.800      1.0193
     3537.900      1.0187
     3538.000      1.0189
     3538.100      1.0190
     3538.200      1.0192
     3538.300      1.0194
     3538.400      1.0195
     3538.500      1.0197
     3538.600      1.0199
     3538.700      1.0199
     3538.800      1.0196
     3538.900      1.0194
     3539.000      1.0191
     3539.100      1.0189
     3539.200      1.0186
     3539.300      1.0183
     3539.400      1.0181
     3539.500      1.0177
     3539.600      1.0169
     3539.700      1.0160
     3539.800      1.0152
     3539.900      1.0143
     3540.000      1.0134
     3540.100      1.0126
     3540.200      1.0117
     3540.300      1.0109
     3540.400      1.0097
     3540.500      1.0086
     3540.600      1.0074
     3540.700      1.0063
     3540.800      1.0051
     3540.900      1.0040
     3541.000      1.0028
     3541.100      1.0017
     3541.200      1.0014
     3541.300      1.0012
     3541.400      1.0010
     3541.500      1.0008
     3541.600      1.0006
     3541.700      1.0004
     3541.800      1.0003
     3541.900      1.0001
     3542.000      1.0005
     3542.100      1.0011
     3542.200      1.0018
     3542.300      1.0025
     3542.400      1.0032
     3542.500      1.0038
     3542.600      1.0045
     3542.700      1.0052
     3542.800      1.0052
     3542.900      1.0049
     3543.000      1.0045
     3543.100      1.0041
     3543.200      1.0037
     3543.300      1.0033
     3543.400      1.0029
     3543.500      1.0025
     3543.600      1.0023
     3543.700      1.0024
     3543.800      1.0026
     3543.900      1.0027
     3544.000      1.0028
     3544.100      1.0030
     3544.200      1.0031
     3544.300      1.0032
     3544.400      1.0033
     3544.500      1.0032
     3544.600      1.0030
     3544.700      1.0029
     3544.800      1.0028
     3544.900      1.0026
     3545.000      1.0025
     3545.100      1.0024
     3545.200      1.0022
     3545.300      1.0012
     3545.400      1.0002
     3545.500     0.99928
     3545.600     0.99831
     3545.700     0.99734
     3545.800     0.99638
     3545.900     0.99541
     3546.000     0.99444
     3546.100     0.99416
     3546.200     0.99396
     3546.300     0.99377
     3546.400     0.99357
     3546.500     0.99338
     3546.600     0.99318
     3546.700     0.99298
     3546.800     0.99279
     3546.900     0.99221
     3547.000     0.99149
     3547.100     0.99078
     3547.200     0.99006
     3547.300     0.98934
     3547.400     0.98863
     3547.500     0.98791
     3547.600     0.98719
     3547.700     0.98680
     3547.800     0.98667
     3547.900     0.98653
     3548.000     0.98639
     3548.100     0.98625
     3548.200     0.98612
     3548.300     0.98598
     3548.400     0.98584
     3548.500     0.98600
     3548.600     0.98660
     3548.700     0.98721
     3548.800     0.98782
     3548.900     0.98843
     3549.000     0.98903
     3549.100     0.98964
     3549.200     0.99025
     3549.300     0.99073
     3549.400     0.99075
     3549.500     0.99077
     3549.600     0.99079
     3549.700     0.99081
     3549.800     0.99083
     3549.900     0.99085
     3550.000     0.99087
     3550.100     0.99086
     3550.200     0.99005
     3550.300     0.98925
     3550.400     0.98845
     3550.500     0.98765
     3550.600     0.98684
     3550.700     0.98604
     3550.800     0.98524
